file,format,block_size,window_size,future_limit,max_matches,len3_dist_bits,len4_dist_bits,len5_dist_bits,len6_dist_bits,len7_dist_bits,lenx_dist_bits,lenx_len_bits
big_files/enwik6,binary,32768,4096,4,1,6,6,6,6,6,12,1
big_files/enwik6,binary,32768,4096,4,4,6,6,6,6,6,12,1
big_files/enwik6,binary,32768,4096,4,16,6,6,6,6,6,12,1
big_files/enwik6,binary,32768,4096,4,128,6,6,6,6,6,12,1
big_files/enwik6,binary,32768,4096,4,1024,6,6,6,6,6,12,1
big_files/enwik6,binary,32768,4096,4,999999999,6,6,6,6,6,12,1
big_files/enwik6,binary,32768,4096,4,1,6,6,6,6,12,12,1
big_files/enwik6,binary,32768,4096,4,4,6,6,6,6,12,12,1
big_files/enwik6,binary,32768,4096,4,16,6,6,6,6,12,12,1
big_files/enwik6,binary,32768,4096,4,128,6,6,6,6,12,12,1
big_files/enwik6,binary,32768,4096,4,1024,6,6,6,6,12,12,1
big_files/enwik6,binary,32768,4096,4,999999999,6,6,6,6,12,12,1
big_files/enwik6,binary,32768,4096,4,1,6,6,6,6,15,12,1
big_files/enwik6,binary,32768,4096,4,4,6,6,6,6,15,12,1
big_files/enwik6,binary,32768,4096,4,16,6,6,6,6,15,12,1
big_files/enwik6,binary,32768,4096,4,128,6,6,6,6,15,12,1
big_files/enwik6,binary,32768,4096,4,1024,6,6,6,6,15,12,1
big_files/enwik6,binary,32768,4096,4,999999999,6,6,6,6,15,12,1
big_files/enwik6,binary,32768,4096,4,1,6,6,6,12,12,12,1
big_files/enwik6,binary,32768,4096,4,4,6,6,6,12,12,12,1
big_files/enwik6,binary,32768,4096,4,16,6,6,6,12,12,12,1
big_files/enwik6,binary,32768,4096,4,128,6,6,6,12,12,12,1
big_files/enwik6,binary,32768,4096,4,1024,6,6,6,12,12,12,1
big_files/enwik6,binary,32768,4096,4,999999999,6,6,6,12,12,12,1
big_files/enwik6,binary,32768,4096,4,1,6,6,6,12,15,12,1
big_files/enwik6,binary,32768,4096,4,4,6,6,6,12,15,12,1
big_files/enwik6,binary,32768,4096,4,16,6,6,6,12,15,12,1
big_files/enwik6,binary,32768,4096,4,128,6,6,6,12,15,12,1
big_files/enwik6,binary,32768,4096,4,1024,6,6,6,12,15,12,1
big_files/enwik6,binary,32768,4096,4,999999999,6,6,6,12,15,12,1
big_files/enwik6,binary,32768,4096,4,1,6,6,6,15,15,12,1
big_files/enwik6,binary,32768,4096,4,4,6,6,6,15,15,12,1
big_files/enwik6,binary,32768,4096,4,16,6,6,6,15,15,12,1
big_files/enwik6,binary,32768,4096,4,128,6,6,6,15,15,12,1
big_files/enwik6,binary,32768,4096,4,1024,6,6,6,15,15,12,1
big_files/enwik6,binary,32768,4096,4,999999999,6,6,6,15,15,12,1
big_files/enwik6,binary,32768,4096,4,1,6,6,12,12,12,12,1
big_files/enwik6,binary,32768,4096,4,4,6,6,12,12,12,12,1
big_files/enwik6,binary,32768,4096,4,16,6,6,12,12,12,12,1
big_files/enwik6,binary,32768,4096,4,128,6,6,12,12,12,12,1
big_files/enwik6,binary,32768,4096,4,1024,6,6,12,12,12,12,1
big_files/enwik6,binary,32768,4096,4,999999999,6,6,12,12,12,12,1
big_files/enwik6,binary,32768,4096,4,1,6,6,12,12,15,12,1
big_files/enwik6,binary,32768,4096,4,4,6,6,12,12,15,12,1
big_files/enwik6,binary,32768,4096,4,16,6,6,12,12,15,12,1
big_files/enwik6,binary,32768,4096,4,128,6,6,12,12,15,12,1
big_files/enwik6,binary,32768,4096,4,1024,6,6,12,12,15,12,1
big_files/enwik6,binary,32768,4096,4,999999999,6,6,12,12,15,12,1
