filename,compressor,level,orig_size,enc_size,ratio_percent,enc_time,dec_time
datasets/enwik/enwik8,lazy,1,100000000,37106117,37.106117,2.0482776259999866,1.028071529000016
AVERAGE,lazy,1,100000000.0,37106117.0,37.106117,2.0482776259999866,1.028071529000016
datasets/enwik/enwik8,lazy,2,100000000,36397595,36.397595,2.086329419000009,1.059696960999986
AVERAGE,lazy,2,100000000.0,36397595.0,36.397595,2.086329419000009,1.059696960999986
datasets/enwik/enwik8,lazy,3,100000000,34801325,34.801325,2.714679490000009,1.1539025959999663
AVERAGE,lazy,3,100000000.0,34801325.0,34.801325,2.714679490000009,1.1539025959999663
datasets/enwik/enwik8,lazy,4,100000000,35718764,35.718764,2.7287628489999634,2.5554181009999866
AVERAGE,lazy,4,100000000.0,35718764.0,35.718764,2.7287628489999634,2.5554181009999866
datasets/enwik/enwik8,lazy,5,100000000,34181624,34.181624,2.9297805070000322,2.298381405999976
AVERAGE,lazy,5,100000000.0,34181624.0,34.181624,2.9297805070000322,2.298381405999976
datasets/enwik/enwik8,lazy,6,100000000,33659096,33.659096,3.3554499279999845,2.368036931000006
AVERAGE,lazy,6,100000000.0,33659096.0,33.659096,3.3554499279999845,2.368036931000006
datasets/enwik/enwik8,lazy,7,100000000,33392392,33.392392,4.023386942999991,2.4533380529999818
AVERAGE,lazy,7,100000000.0,33392392.0,33.392392,4.023386942999991,2.4533380529999818
datasets/enwik/enwik8,lazy,8,100000000,33053664,33.053664,17.022197828000003,2.2549078099999633
AVERAGE,lazy,8,100000000.0,33053664.0,33.053664,17.022197828000003,2.2549078099999633
datasets/enwik/enwik8,lazy,9,100000000,32922564,32.922564,30.024498008000023,2.248590104000016
AVERAGE,lazy,9,100000000.0,32922564.0,32.922564,30.024498008000023,2.248590104000016
datasets/enwik/enwik8,lazy,10,100000000,32670696,32.670696,40.021603217000006,2.411483895999993
AVERAGE,lazy,10,100000000.0,32670696.0,32.670696,40.021603217000006,2.411483895999993
datasets/enwik/enwik8,lazy,11,100000000,31162584,31.162584,88.03679001500001,2.1381622959999618
AVERAGE,lazy,11,100000000.0,31162584.0,31.162584,88.03679001500001,2.1381622959999618
datasets/enwik/enwik8,lazy,12,100000000,30462868,30.462868,181.04763071199994,2.0509188600000243
AVERAGE,lazy,12,100000000.0,30462868.0,30.462868,181.04763071199994,2.0509188600000243
datasets/enwik/enwik8,lazy,13,100000000,29757398,29.757398000000002,411.072113726,2.046363143999997
AVERAGE,lazy,13,100000000.0,29757398.0,29.757398000000002,411.072113726,2.046363143999997
datasets/enwik/enwik8,lazy,14,100000000,29084403,29.084403,885.2753256229998,1.9942461630000707
AVERAGE,lazy,14,100000000.0,29084403.0,29.084403,885.2753256229998,1.9942461630000707
datasets/enwik/enwik8,lazy,15,100000000,28614990,28.614990000000002,1543.5646788919998,2.04522602499992
AVERAGE,lazy,15,100000000.0,28614990.0,28.614990000000002,1543.5646788919998,2.04522602499992
datasets/enwik/enwik8,lazy,16,100000000,30764812,30.764812000000003,401.0586566009997,2.15430603599998
AVERAGE,lazy,16,100000000.0,30764812.0,30.764812000000003,401.0586566009997,2.15430603599998
datasets/enwik/enwik8,lazy,17,100000000,30067712,30.067712,478.07045929300057,2.0354064399998606
AVERAGE,lazy,17,100000000.0,30067712.0,30.067712,478.07045929300057,2.0354064399998606
datasets/enwik/enwik8,lazy,18,100000000,29362100,29.3621,740.0979179249998,2.1267075300002034
AVERAGE,lazy,18,100000000.0,29362100.0,29.3621,740.0979179249998,2.1267075300002034
datasets/enwik/enwik8,lazy,19,100000000,28674478,28.674477999999997,1552.0503845120002,2.0707090590003645
AVERAGE,lazy,19,100000000.0,28674478.0,28.674477999999997,1552.0503845120002,2.0707090590003645
datasets/enwik/enwik8,lazy,20,100000000,27971545,27.971545,2841.0159020560004,2.1194718329988973
AVERAGE,lazy,20,100000000.0,27971545.0,27.971545,2841.0159020560004,2.1194718329988973
datasets/enwik/enwik8,gzip,1,100000000,42255781,42.255781,0.14042971399976523,0.27129649199923733
AVERAGE,gzip,1,100000000.0,42255781.0,42.255781,0.14042971399976523,0.27129649199923733
datasets/enwik/enwik8,gzip,2,100000000,40696287,40.696287,0.10923798099975102,0.2618363989986392
AVERAGE,gzip,2,100000000.0,40696287.0,40.696287,0.10923798099975102,0.2618363989986392
datasets/enwik/enwik8,gzip,3,100000000,39470004,39.470003999999996,0.13296703599917237,0.2594035250003799
AVERAGE,gzip,3,100000000.0,39470004.0,39.470003999999996,0.13296703599917237,0.2594035250003799
datasets/enwik/enwik8,gzip,4,100000000,38002047,38.002047,0.14242786999966484,0.2641642350008624
AVERAGE,gzip,4,100000000.0,38002047.0,38.002047,0.14242786999966484,0.2641642350008624
datasets/enwik/enwik8,gzip,5,100000000,36892972,36.892972,0.19895198100130074,0.2622446659988782
AVERAGE,gzip,5,100000000.0,36892972.0,36.892972,0.19895198100130074,0.2622446659988782
datasets/enwik/enwik8,gzip,6,100000000,36562892,36.562892000000005,0.2815395859997807,0.2708170709993283
AVERAGE,gzip,6,100000000.0,36562892.0,36.562892000000005,0.2815395859997807,0.2708170709993283
datasets/enwik/enwik8,gzip,7,100000000,36512713,36.512713000000005,0.3142250669989153,0.26537062199895445
AVERAGE,gzip,7,100000000.0,36512713.0,36.512713000000005,0.3142250669989153,0.26537062199895445
datasets/enwik/enwik8,gzip,8,100000000,36489817,36.489817,0.3530962549994001,0.2651544960008323
AVERAGE,gzip,8,100000000.0,36489817.0,36.489817,0.3530962549994001,0.2651544960008323
datasets/enwik/enwik8,gzip,9,100000000,36489593,36.489593,0.3487144190003164,0.2672139270016487
AVERAGE,gzip,9,100000000.0,36489593.0,36.489593,0.3487144190003164,0.2672139270016487
datasets/enwik/enwik8,bzip2,1,100000000,33262105,33.262105,0.46689210399927106,0.19797357199968246
AVERAGE,bzip2,1,100000000.0,33262105.0,33.262105,0.46689210399927106,0.19797357199968246
datasets/enwik/enwik8,bzip2,2,100000000,31897629,31.897629,0.46896006099996157,0.2103174459989532
AVERAGE,bzip2,2,100000000.0,31897629.0,31.897629,0.46896006099996157,0.2103174459989532
datasets/enwik/enwik8,bzip2,3,100000000,30925062,30.925061999999997,0.5542783090004377,0.27345498999966367
AVERAGE,bzip2,3,100000000.0,30925062.0,30.925061999999997,0.5542783090004377,0.27345498999966367
