compressor | file | ratio in % | compression time | decompression time | compression memory in MB | decompression memory in MB
brotli_q0 | enwik9 | 37.383727 | 2.64 | 2.62 | 6.88 | 29.75
brotli_q1 | enwik9 | 35.136655 | 3.57 | 2.48 | 7.88 | 29.75
brotli_q2 | enwik9 | 32.650767 | 6.63 | 2.36 | 39.12 | 29.75
brotli_q3 | enwik9 | 32.312979 | 7.50 | 2.25 | 39.21 | 29.75
brotli_q4 | enwik9 | 29.283003 | 15.91 | 2.26 | 118.32 | 22.70
brotli_q5 | enwik9 | 27.758316 | 21.09 | 2.23 | 99.86 | 22.97
brotli_q6 | enwik9 | 27.040920 | 33.69 | 2.23 | 100.81 | 22.99
brotli_q7 | enwik9 | 26.350895 | 73.78 | 2.23 | 103.84 | 22.85
brotli_q8 | enwik9 | 25.728809 | 140.01 | 2.31 | 110.96 | 22.85
brotli_q9 | enwik9 | 25.176180 | 273.12 | 2.71 | 128.61 | 22.85
brotli_q10 | enwik9 | 22.781645 | 888.43 | 3.18 | 241.11 | 22.79
brotli_q11 | enwik9 | 22.334566 | 1608.23 | 2.90 | 247.03 | 22.53
xz_0 | enwik9 | 32.344165 | 3.44 | 0.80 | 1251.15 | 180.57
xz_1 | enwik9 | 29.265414 | 7.41 | 0.74 | 1441.15 | 267.45
xz_2 | enwik9 | 28.080716 | 17.59 | 0.73 | 1705.15 | 394.08
xz_3 | enwik9 | 27.366767 | 36.07 | 0.80 | 2221.15 | 637.82
xz_4 | enwik9 | 24.976490 | 35.74 | 0.79 | 2477.15 | 640.78
xz_5 | enwik9 | 23.682711 | 51.18 | 0.94 | 3729.14 | 1137.26
xz_6 | enwik9 | 23.340310 | 54.36 | 1.02 | 3729.14 | 1087.02
xz_7 | enwik9 | 22.729293 | 72.93 | 1.03 | 5849.11 | 1534.18
xz_8 | enwik9 | 22.128760 | 97.55 | 1.32 | 6338.96 | 1573.77
xz_9 | enwik9 | 21.567420 | 181.68 | 2.03 | 5653.83 | 1528.23
zstd_1 | enwik9 | 35.691678 | 0.38 | 0.71 | 1377.85 | 216.24
zstd_2 | enwik9 | 32.859420 | 0.49 | 0.87 | 1327.55 | 216.74
zstd_3 | enwik9 | 31.210971 | 1.00 | 0.85 | 1650.49 | 217.74
zstd_4 | enwik9 | 30.615413 | 1.97 | 0.91 | 1631.84 | 217.74
zstd_5 | enwik9 | 29.613850 | 2.00 | 0.95 | 1676.74 | 217.74
zstd_6 | enwik9 | 28.643347 | 2.34 | 0.86 | 1676.74 | 217.74
zstd_7 | enwik9 | 28.115324 | 3.25 | 0.90 | 1679.84 | 217.74
zstd_8 | enwik9 | 27.709686 | 3.68 | 0.85 | 1714.24 | 217.74
zstd_9 | enwik9 | 27.222966 | 4.60 | 0.89 | 2053.68 | 219.74
zstd_10 | enwik9 | 26.845787 | 7.09 | 0.88 | 2208.37 | 219.74
zstd_11 | enwik9 | 26.661189 | 11.27 | 0.89 | 2224.43 | 219.74
zstd_12 | enwik9 | 26.601261 | 12.32 | 0.89 | 2544.43 | 155.74
zstd_13 | enwik9 | 26.303432 | 20.72 | 0.89 | 2400.37 | 219.74
zstd_14 | enwik9 | 26.148160 | 25.67 | 0.89 | 2656.37 | 219.74
zstd_15 | enwik9 | 25.866955 | 31.58 | 0.91 | 2912.37 | 219.74
zstd_16 | enwik9 | 25.004507 | 33.16 | 0.86 | 2434.55 | 219.74
zstd_17 | enwik9 | 24.274646 | 58.52 | 0.91 | 3267.87 | 223.74
zstd_18 | enwik9 | 23.955520 | 57.69 | 0.99 | 3277.68 | 223.74
zstd_19 | enwik9 | 23.532894 | 74.87 | 1.08 | 3757.55 | 159.74
zstd_20 | enwik9 | 22.552626 | 131.49 | 1.19 | 5541.43 | 247.74
zstd_21 | enwik9 | 21.946541 | 247.49 | 1.25 | 7776.43 | 279.74
zstd_22 | enwik9 | 21.372121 | 469.06 | 1.29 | 12893.94 | 343.74
lzmpo_0 | enwik9 | 23.896738 | 200.70 | 22.37 | 34104.15 | 2851.09
lzmpo_1 | enwik9 | 22.101645 | 1358.45 | 20.68 | 33833.93 | 2447.86
lzmpo_2 | enwik9 | 21.771510 | 346.82 | 20.48 | 41381.61 | 2375.54
lzmpo_3 | enwik9 | 20.860817 | 1166.49 | 19.54 | 41381.61 | 2210.19
lzmpo_4 | enwik9 | 20.383280 | 1536.96 | 19.50 | 56640.41 | 2136.39
lzmpo_5 | enwik9 | 20.291577 | 1931.99 | 19.51 | 56640.41 | 2118.67
lzmpo_6 | enwik9 | 20.251135 | 3236.52 | 19.10 | 56640.41 | 2113.17
lzmpo_* | enwik9 | 20.230000 | 50180.25 | 19.83 | 29195.59 | 2036.48
brotli_q0 | enwik8 | 41.951501 | 0.31 | 0.31 | 6.88 | 29.75
brotli_q1 | enwik8 | 39.601458 | 0.42 | 0.29 | 7.88 | 29.75
brotli_q2 | enwik8 | 36.948512 | 0.77 | 0.27 | 38.93 | 29.75
brotli_q3 | enwik8 | 36.692210 | 0.86 | 0.26 | 38.64 | 29.75
brotli_q4 | enwik8 | 33.426985 | 2.29 | 0.28 | 96.76 | 22.69
brotli_q5 | enwik8 | 31.772726 | 3.16 | 0.25 | 99.86 | 22.84
brotli_q6 | enwik8 | 30.969374 | 4.80 | 0.24 | 100.68 | 22.86
brotli_q7 | enwik8 | 30.198759 | 9.69 | 0.26 | 103.84 | 22.85
brotli_q8 | enwik8 | 29.507343 | 15.42 | 0.30 | 110.96 | 22.85
brotli_q9 | enwik8 | 28.887786 | 30.85 | 0.31 | 128.61 | 22.85
brotli_q10 | enwik8 | 26.232030 | 91.27 | 0.35 | 241.11 | 22.40
brotli_q11 | enwik8 | 25.742001 | 164.26 | 0.35 | 235.93 | 22.36
xz_0 | enwik8 | 37.004276 | 0.44 | 0.11 | 1244.12 | 179.78
xz_1 | enwik8 | 33.496276 | 0.91 | 0.11 | 1448.57 | 247.55
xz_2 | enwik8 | 32.198828 | 2.37 | 0.13 | 1657.07 | 295.36
xz_3 | enwik8 | 31.406040 | 6.64 | 0.16 | 1057.86 | 230.23
xz_4 | enwik8 | 28.232696 | 6.77 | 0.16 | 1169.86 | 227.20
xz_5 | enwik8 | 26.805108 | 15.15 | 0.25 | 860.76 | 193.79
xz_6 | enwik8 | 26.665156 | 15.57 | 0.27 | 860.76 | 193.65
xz_7 | enwik8 | 25.923264 | 33.87 | 0.45 | 714.71 | 176.77
xz_8 | enwik8 | 25.213824 | 73.64 | 0.79 | 641.68 | 168.08
xz_9 | enwik8 | 24.865252 | 74.58 | 0.88 | 1137.69 | 199.75
zstd_1 | enwik8 | 40.675947 | 0.07 | 0.09 | 1119.84 | 216.24
zstd_2 | enwik8 | 37.372186 | 0.10 | 0.10 | 1304.50 | 216.74
zstd_3 | enwik8 | 35.445335 | 0.18 | 0.10 | 1357.40 | 217.74
zstd_4 | enwik8 | 34.762517 | 0.29 | 0.12 | 1371.15 | 217.74
zstd_5 | enwik8 | 33.744231 | 0.32 | 0.14 | 1376.65 | 217.74
zstd_6 | enwik8 | 32.669481 | 0.34 | 0.11 | 1323.67 | 217.74
zstd_7 | enwik8 | 32.074672 | 0.51 | 0.10 | 1404.15 | 217.74
zstd_8 | enwik8 | 31.654021 | 0.55 | 0.11 | 1353.67 | 217.74
zstd_9 | enwik8 | 31.129515 | 0.77 | 0.11 | 1148.13 | 219.74
zstd_10 | enwik8 | 30.697512 | 1.17 | 0.13 | 1170.69 | 219.74
zstd_11 | enwik8 | 30.491656 | 1.72 | 0.13 | 1198.13 | 219.74
zstd_12 | enwik8 | 30.418850 | 2.01 | 0.12 | 1354.69 | 219.74
zstd_13 | enwik8 | 30.033243 | 4.53 | 0.14 | 1306.69 | 219.74
zstd_14 | enwik8 | 29.862780 | 5.70 | 0.13 | 1402.69 | 219.74
zstd_15 | enwik8 | 29.544530 | 7.29 | 0.14 | 1498.69 | 219.74
zstd_16 | enwik8 | 28.467173 | 7.90 | 0.13 | 1307.55 | 219.74
zstd_17 | enwik8 | 27.709040 | 19.10 | 0.12 | 1353.58 | 159.74
zstd_18 | enwik8 | 27.333983 | 21.15 | 0.21 | 1355.42 | 223.74
zstd_19 | enwik8 | 26.944227 | 24.05 | 0.16 | 1451.42 | 223.74
zstd_20 | enwik8 | 25.953970 | 69.24 | 0.17 | 3129.18 | 247.74
zstd_21 | enwik8 | 25.486727 | 79.67 | 0.19 | 5849.68 | 279.74
zstd_22 | enwik8 | 25.272471 | 91.37 | 0.23 | 11546.68 | 310.86
lzmpo_0 | enwik8 | 28.056053 | 18.16 | 2.59 | 4781.92 | 418.95
lzmpo_1 | enwik8 | 26.388558 | 95.56 | 2.63 | 4765.23 | 380.34
lzmpo_2 | enwik8 | 26.172387 | 30.10 | 2.53 | 4763.30 | 375.82
lzmpo_3 | enwik8 | 25.516080 | 72.39 | 2.47 | 4757.89 | 363.19
lzmpo_4 | enwik8 | 25.319430 | 73.19 | 2.36 | 6627.77 | 360.11
lzmpo_5 | enwik8 | 25.272864 | 90.42 | 2.37 | 6627.77 | 358.88
lzmpo_6 | enwik8 | 25.258352 | 125.65 | 2.35 | 6627.77 | 358.61
lzmpo_7 | enwik8 | 25.253447 | 11532.30 | 2.38 | 4755.94 | 358.57
brotli_q0 | enwik8.2 | 41.946979 | 1.02 | 1.02 | 6.88 | 29.75
