-l,-f,-j,-k,--bs,--ws,--fl,--mm,--lm,filename,orig_size,enc_size,ratio,enc_time,dec_time
0,turbo2,16,1,4194304,4194304,4194304,0,1,datasets/enwik/enwik8,100000000,31386068,31.386068,220.0501103401184,1.9903175830841064
0,turbo2,16,1,4194304,4194304,4194304,0,1,AVERAGE,100000000.0,31386068.0,31.386068,220.0501103401184,1.9903175830841064
0,turbo2,16,1,4194304,4194304,4194304,0,2,datasets/enwik/enwik8,100000000,31162584,31.162584,315.072331905365,2.1033742427825928
0,turbo2,16,1,4194304,4194304,4194304,0,2,AVERAGE,100000000.0,31162584.0,31.162584,315.072331905365,2.1033742427825928
0,turbo2,16,1,8388608,8388608,8388608,0,1,datasets/enwik/enwik8,100000000,30665480,30.66548,496.09566020965576,1.9112279415130615
0,turbo2,16,1,8388608,8388608,8388608,0,1,AVERAGE,100000000.0,30665480.0,30.66548,496.09566020965576,1.9112279415130615
0,turbo2,16,1,8388608,8388608,8388608,0,2,datasets/enwik/enwik8,100000000,30462868,30.462868,658.1067099571228,1.989762544631958
0,turbo2,16,1,8388608,8388608,8388608,0,2,AVERAGE,100000000.0,30462868.0,30.462868,658.1067099571228,1.989762544631958
0,turbo2,16,1,16777216,16777216,16777216,0,1,datasets/enwik/enwik8,100000000,29940534,29.940534,1712.3806476593018,1.9796342849731445
0,turbo2,16,1,16777216,16777216,16777216,0,1,AVERAGE,100000000.0,29940534.0,29.940534,1712.3806476593018,1.9796342849731445
0,turbo2,16,1,16777216,16777216,16777216,0,2,datasets/enwik/enwik8,100000000,29757398,29.757398,2228.7748551368713,2.0604851245880127
0,turbo2,16,1,16777216,16777216,16777216,0,2,AVERAGE,100000000.0,29757398.0,29.757398,2228.7748551368713,2.0604851245880127
0,turbo2,16,1,33554432,33554432,33554432,0,1,datasets/enwik/enwik8,100000000,29249363,29.249363,5835.829429626465,1.9738287925720215
0,turbo2,16,1,33554432,33554432,33554432,0,1,AVERAGE,100000000.0,29249363.0,29.249363,5835.829429626465,1.9738287925720215
0,turbo2,16,1,33554432,33554432,33554432,0,2,datasets/enwik/enwik8,100000000,29084403,29.084403,8063.696598768234,2.0933053493499756
0,turbo2,16,1,33554432,33554432,33554432,0,2,AVERAGE,100000000.0,29084403.0,29.084403,8063.696598768234,2.0933053493499756
0,turbo2,16,2,4194304,4194304,4194304,0,1,datasets/enwik/enwik8,100000000,31386068,31.386068,77.04425144195557,2.0834410190582275
0,turbo2,16,2,4194304,4194304,4194304,0,1,AVERAGE,100000000.0,31386068.0,31.386068,77.04425144195557,2.0834410190582275
0,turbo2,16,2,4194304,4194304,4194304,0,2,datasets/enwik/enwik8,100000000,31162584,31.162584,120.06663084030151,2.2536091804504395
0,turbo2,16,2,4194304,4194304,4194304,0,2,AVERAGE,100000000.0,31162584.0,31.162584,120.06663084030151,2.2536091804504395
0,turbo2,16,2,8388608,8388608,8388608,0,1,datasets/enwik/enwik8,100000000,30665480,30.66548,192.0810718536377,2.003967523574829
0,turbo2,16,2,8388608,8388608,8388608,0,1,AVERAGE,100000000.0,30665480.0,30.66548,192.0810718536377,2.003967523574829
0,turbo2,16,2,8388608,8388608,8388608,0,2,datasets/enwik/enwik8,100000000,30462868,30.462868,283.11279463768005,2.1109440326690674
0,turbo2,16,2,8388608,8388608,8388608,0,2,AVERAGE,100000000.0,30462868.0,30.462868,283.11279463768005,2.1109440326690674
0,turbo2,16,2,16777216,16777216,16777216,0,1,datasets/enwik/enwik8,100000000,29940534,29.940534,368.91387128829956,2.025001049041748
