-l,-f,-j,-k,--bs,--ws,--fl,--mm,--lm,filename,orig_size,enc_size,ratio,enc_time,dec_time
0,turbo2,1,8,268435456,268435456,268435456,0,2,datasets/silesia/ooffice,6152192,2773529,45.081964,34.01402306556702,0.23984551429748535
0,turbo2,1,8,268435456,268435456,268435456,0,2,datasets/silesia/xml,5345280,481621,9.010211,10.007122993469238,0.046787261962890625
0,turbo2,1,8,268435456,268435456,268435456,0,2,datasets/silesia/mr,9970564,3167185,31.765354,83.0167167186737,0.24306321144104004
0,turbo2,1,8,268435456,268435456,268435456,0,2,datasets/silesia/nci,33553445,1804585,5.378241,299.04025864601135,0.1757967472076416
0,turbo2,1,8,268435456,268435456,268435456,0,2,datasets/silesia/webster,41458703,9364961,22.588649,548.2845780849457,0.6890914440155029
0,turbo2,1,8,268435456,268435456,268435456,0,2,datasets/silesia/reymont,6627202,1463641,22.085354,36.0139594078064,0.1193087100982666
0,turbo2,1,8,268435456,268435456,268435456,0,2,datasets/silesia/dickens,10192446,3114169,30.553696,75.01692080497742,0.22873353958129883
0,turbo2,1,8,268435456,268435456,268435456,0,2,datasets/silesia/mozilla,51220480,15712401,30.676013,802.2239029407501,1.4227571487426758
0,turbo2,1,8,268435456,268435456,268435456,0,2,datasets/silesia/osdb,10085684,3156757,31.299384,48.01776456832886,0.2848384380340576
0,turbo2,1,8,268435456,268435456,268435456,0,2,datasets/silesia/x-ray,8474240,5154697,60.827838,59.348849058151245,0.39693140983581543
0,turbo2,1,8,268435456,268435456,268435456,0,2,datasets/silesia/samba,21606400,4143521,19.177285,75.01645994186401,0.37944507598876953
0,turbo2,1,8,268435456,268435456,268435456,0,2,datasets/silesia/sao,7251944,4997361,68.91064,37.06725835800171,0.46324872970581055
0,turbo2,1,8,268435456,268435456,268435456,0,2,AVERAGE,17661548.333333332,4611202.333333333,26.108709,175.58898454904556,0.3908206025759379
