-f,-j,-b,--block-size,--window-size,--future-limit,--max-matches,--lazy-matching,-O,orig_size,enc_size,ratio,enc_time,dec_time
ctx,1,1,16384,4096,4096,10,,,10000000,4892610,48.9,19.60613489151001,0.056014060974121094
ctx,1,1,16384,4096,4096,10,True,,10000000,4869117,48.7,19.821134567260742,0.05819416046142578
ctx,1,1,16384,4096,4096,1000,,,10000000,4864360,48.6,20.00606060028076,0.05469703674316406
ctx,1,1,16384,4096,4096,1000,True,,10000000,4839283,48.4,19.498652696609497,0.057225704193115234
ctx,1,1,16384,4096,4096,0,,,10000000,4864360,48.6,19.52678155899048,0.05616044998168945
ctx,1,1,16384,4096,4096,0,True,,10000000,4839283,48.4,19.677356004714966,0.05743718147277832
ctx,1,1,16384,4096,16384,10,,,10000000,4892610,48.9,19.72916078567505,0.05882549285888672
ctx,1,1,16384,4096,16384,10,True,,10000000,4869117,48.7,19.671508073806763,0.05718541145324707
ctx,1,1,16384,4096,16384,1000,,,10000000,4864360,48.6,19.42173194885254,0.05717635154724121
ctx,1,1,16384,4096,16384,1000,True,,10000000,4839283,48.4,19.00232219696045,0.061893463134765625
ctx,1,1,16384,4096,16384,0,,,10000000,4864360,48.6,20.168821096420288,0.05583763122558594
ctx,1,1,16384,4096,16384,0,True,,10000000,4839283,48.4,20.345412254333496,0.05546998977661133
ctx,1,1,16384,16384,4096,10,,,10000000,4693575,46.9,19.741684913635254,0.055176496505737305
ctx,1,1,16384,16384,4096,10,True,,10000000,4668019,46.7,20.156768321990967,0.0532073974609375
ctx,1,1,16384,16384,4096,1000,,,10000000,4651729,46.5,20.00112509727478,0.05274796485900879
ctx,1,1,16384,16384,4096,1000,True,,10000000,4620577,46.2,19.877336978912354,0.053876638412475586
ctx,1,1,16384,16384,4096,0,,,10000000,4651729,46.5,20.18409538269043,0.05502748489379883
ctx,1,1,16384,16384,4096,0,True,,10000000,4620577,46.2,19.757325649261475,0.05292630195617676
ctx,1,1,16384,16384,16384,10,,,10000000,4693575,46.9,19.431405067443848,0.05439352989196777
ctx,1,1,16384,16384,16384,10,True,,10000000,4668019,46.7,18.939398527145386,0.054489850997924805
ctx,1,1,16384,16384,16384,1000,,,10000000,4651729,46.5,17.958567142486572,0.05120587348937988
ctx,1,1,16384,16384,16384,1000,True,,10000000,4620577,46.2,18.91471266746521,0.05263805389404297
ctx,1,1,16384,16384,16384,0,,,10000000,4651729,46.5,19.848341703414917,0.05384349822998047
ctx,1,1,16384,16384,16384,0,True,,10000000,4620577,46.2,20.03666067123413,0.053949832916259766
ctx,1,1,65536,4096,4096,10,,,10000000,4700021,47.0,5.131617307662964,0.05563545227050781
ctx,1,1,65536,4096,4096,10,True,,10000000,4678739,46.8,5.17519998550415,0.05436086654663086
ctx,1,1,65536,4096,4096,1000,,,10000000,4667677,46.7,5.248625993728638,0.05574846267700195
ctx,1,1,65536,4096,4096,1000,True,,10000000,4644627,46.4,5.194578409194946,0.05243253707885742
ctx,1,1,65536,4096,4096,0,,,10000000,4667677,46.7,5.172914981842041,0.05262327194213867
ctx,1,1,65536,4096,4096,0,True,,10000000,4644627,46.4,5.17522931098938,0.05260181427001953
ctx,1,1,65536,4096,16384,10,,,10000000,4700021,47.0,5.102588653564453,0.05618405342102051
ctx,1,1,65536,4096,16384,10,True,,10000000,4678739,46.8,5.1173224449157715,0.054793357849121094
ctx,1,1,65536,4096,16384,1000,,,10000000,4667677,46.7,5.122299909591675,0.053336143493652344
ctx,1,1,65536,4096,16384,1000,True,,10000000,4644627,46.4,5.244342088699341,0.05639171600341797
ctx,1,1,65536,4096,16384,0,,,10000000,4667677,46.7,5.150024890899658,0.05356717109680176
ctx,1,1,65536,4096,16384,0,True,,10000000,4644627,46.4,5.2255494594573975,0.05431056022644043
ctx,1,1,65536,4096,65536,10,,,10000000,4700021,47.0,5.111220836639404,0.05494523048400879
ctx,1,1,65536,4096,65536,10,True,,10000000,4678739,46.8,5.1179118156433105,0.055238962173461914
ctx,1,1,65536,4096,65536,1000,,,10000000,4667677,46.7,5.140029668807983,0.054961442947387695
ctx,1,1,65536,4096,65536,1000,True,,10000000,4644627,46.4,5.147537469863892,0.05414152145385742
ctx,1,1,65536,4096,65536,0,,,10000000,4667677,46.7,5.13499903678894,0.05366253852844238
ctx,1,1,65536,4096,65536,0,True,,10000000,4644627,46.4,5.063445329666138,0.054995059967041016
ctx,1,1,65536,16384,4096,10,,,10000000,4280636,42.8,4.779896259307861,0.04732513427734375
ctx,1,1,65536,16384,4096,10,True,,10000000,4262166,42.6,4.783327341079712,0.05078697204589844
ctx,1,1,65536,16384,4096,1000,,,10000000,4205898,42.1,4.542282342910767,0.04526066780090332
ctx,1,1,65536,16384,4096,1000,True,,10000000,4179677,41.8,4.734712839126587,0.04490947723388672
ctx,1,1,65536,16384,4096,0,,,10000000,4205892,42.1,4.672108888626099,0.043952226638793945
ctx,1,1,65536,16384,4096,0,True,,10000000,4179678,41.8,4.77783203125,0.04546093940734863
ctx,1,1,65536,16384,16384,10,,,10000000,4280636,42.8,4.606188058853149,0.04600858688354492
ctx,1,1,65536,16384,16384,10,True,,10000000,4262166,42.6,4.663454055786133,0.05127143859863281
ctx,1,1,65536,16384,16384,1000,,,10000000,4205898,42.1,4.746192693710327,0.04561758041381836
ctx,1,1,65536,16384,16384,1000,True,,10000000,4179677,41.8,4.703711986541748,0.04491448402404785
ctx,1,1,65536,16384,16384,0,,,10000000,4205892,42.1,4.734586000442505,0.04332542419433594
ctx,1,1,65536,16384,16384,0,True,,10000000,4179678,41.8,4.859701633453369,0.046071529388427734
ctx,1,1,65536,16384,65536,10,,,10000000,4280636,42.8,4.797913312911987,0.04803323745727539
ctx,1,1,65536,16384,65536,10,True,,10000000,4262166,42.6,4.73274302482605,0.04471087455749512
ctx,1,1,65536,16384,65536,1000,,,10000000,4205898,42.1,4.798094749450684,0.04592418670654297
ctx,1,1,65536,16384,65536,1000,True,,10000000,4179677,41.8,4.619141578674316,0.04960322380065918
ctx,1,1,65536,16384,65536,0,,,10000000,4205892,42.1,4.495510816574097,0.047768354415893555
ctx,1,1,65536,16384,65536,0,True,,10000000,4179678,41.8,4.773684978485107,0.04773831367492676
ctx,1,1,65536,65536,4096,10,,,10000000,4187980,41.9,4.599349737167358,0.043361663818359375
