-f,-j,-b,--block-size,--window-size,--future-limit,--max-matches,--lazy-matching,-O,orig_size,enc_size,ratio,enc_time,dec_time
ctx,1,1,16384,4096,4096,10,,,10000000,4892610,48.9,18.621444940567017,0.05620980262756348
ctx,1,1,16384,4096,4096,10,True,,10000000,4869117,48.7,18.5830659866333,0.057845354080200195
ctx,1,1,16384,4096,4096,1000,,,10000000,4864360,48.6,18.541517972946167,0.05635476112365723
ctx,1,1,16384,4096,4096,1000,True,,10000000,4839283,48.4,19.39389157295227,0.05823254585266113
ctx,1,1,16384,4096,4096,0,,,10000000,4864360,48.6,19.633923768997192,0.057299137115478516
ctx,1,1,16384,4096,4096,0,True,,10000000,4839283,48.4,19.364375829696655,0.06066274642944336
ctx,1,1,16384,4096,16384,10,,,10000000,4892610,48.9,19.58860731124878,0.05786919593811035
ctx,1,1,16384,4096,16384,10,True,,10000000,4869117,48.7,19.44074821472168,0.05790305137634277
ctx,1,1,16384,4096,16384,1000,,,10000000,4864360,48.6,19.5213885307312,0.05751633644104004
ctx,1,1,16384,4096,16384,1000,True,,10000000,4839283,48.4,20.102073907852173,0.05614590644836426
ctx,1,1,16384,4096,16384,0,,,10000000,4864360,48.6,20.32587432861328,0.056476593017578125
ctx,1,1,16384,4096,16384,0,True,,10000000,4839283,48.4,19.06666898727417,0.05604124069213867
ctx,1,1,16384,16384,4096,10,,,10000000,4693575,46.9,20.12040686607361,0.05332207679748535
ctx,1,1,16384,16384,4096,10,True,,10000000,4668019,46.7,20.23301124572754,0.05664968490600586
ctx,1,1,16384,16384,4096,1000,,,10000000,4651729,46.5,20.27843165397644,0.06336474418640137
ctx,1,1,16384,16384,4096,1000,True,,10000000,4620577,46.2,20.258875131607056,0.052429914474487305
ctx,1,1,16384,16384,4096,0,,,10000000,4651729,46.5,20.202259302139282,0.052593231201171875
ctx,1,1,16384,16384,4096,0,True,,10000000,4620577,46.2,20.40172553062439,0.05363154411315918
ctx,1,1,16384,16384,16384,10,,,10000000,4693575,46.9,20.09821605682373,0.05405116081237793
ctx,1,1,16384,16384,16384,10,True,,10000000,4668019,46.7,20.162371158599854,0.05327486991882324
ctx,1,1,16384,16384,16384,1000,,,10000000,4651729,46.5,20.24315094947815,0.055518388748168945
ctx,1,1,16384,16384,16384,1000,True,,10000000,4620577,46.2,20.17279815673828,0.053160905838012695
ctx,1,1,16384,16384,16384,0,,,10000000,4651729,46.5,20.37020206451416,0.05251502990722656
ctx,1,1,16384,16384,16384,0,True,,10000000,4620577,46.2,20.270881175994873,0.05273270606994629
ctx,1,1,65536,4096,4096,10,,,10000000,4700021,47.0,5.220951795578003,0.054450273513793945
ctx,1,1,65536,4096,4096,10,True,,10000000,4678739,46.8,5.131036996841431,0.054102420806884766
ctx,1,1,65536,4096,4096,1000,,,10000000,4667677,46.7,5.148267507553101,0.0540463924407959
ctx,1,1,65536,4096,4096,1000,True,,10000000,4644627,46.4,5.13503098487854,0.056279897689819336
ctx,1,1,65536,4096,4096,0,,,10000000,4667677,46.7,5.179771900177002,0.05591106414794922
ctx,1,1,65536,4096,4096,0,True,,10000000,4644627,46.4,5.089640378952026,0.054360389709472656
ctx,1,1,65536,4096,16384,10,,,10000000,4700021,47.0,5.118412733078003,0.05502486228942871
ctx,1,1,65536,4096,16384,10,True,,10000000,4678739,46.8,5.025540113449097,0.05608868598937988
ctx,1,1,65536,4096,16384,1000,,,10000000,4667677,46.7,4.720303773880005,0.054100990295410156
ctx,1,1,65536,4096,16384,1000,True,,10000000,4644627,46.4,5.172209024429321,0.0545194149017334
ctx,1,1,65536,4096,16384,0,,,10000000,4667677,46.7,5.116714715957642,0.05667996406555176
ctx,1,1,65536,4096,16384,0,True,,10000000,4644627,46.4,5.232342481613159,0.05292630195617676
ctx,1,1,65536,4096,65536,10,,,10000000,4700021,47.0,5.108220338821411,0.05477166175842285
ctx,1,1,65536,4096,65536,10,True,,10000000,4678739,46.8,4.9802141189575195,0.05349135398864746
ctx,1,1,65536,4096,65536,1000,,,10000000,4667677,46.7,4.978060245513916,0.054445505142211914
ctx,1,1,65536,4096,65536,1000,True,,10000000,4644627,46.4,4.996156454086304,0.05344796180725098
ctx,1,1,65536,4096,65536,0,,,10000000,4667677,46.7,5.036222696304321,0.05435490608215332
ctx,1,1,65536,4096,65536,0,True,,10000000,4644627,46.4,5.085164308547974,0.06398868560791016
ctx,1,1,65536,16384,4096,10,,,10000000,4280636,42.8,5.105799913406372,0.047708988189697266
ctx,1,1,65536,16384,4096,10,True,,10000000,4262166,42.6,5.10006046295166,0.048856496810913086
ctx,1,1,65536,16384,4096,1000,,,10000000,4205898,42.1,5.1467180252075195,0.04710125923156738
ctx,1,1,65536,16384,4096,1000,True,,10000000,4179677,41.8,5.248257160186768,0.04809832572937012
ctx,1,1,65536,16384,4096,0,,,10000000,4205892,42.1,5.23642110824585,0.04673433303833008
ctx,1,1,65536,16384,4096,0,True,,10000000,4179678,41.8,5.120053291320801,0.0456852912902832
ctx,1,1,65536,16384,16384,10,,,10000000,4280636,42.8,5.1940758228302,0.048230648040771484
ctx,1,1,65536,16384,16384,10,True,,10000000,4262166,42.6,5.220628261566162,0.048332929611206055
ctx,1,1,65536,16384,16384,1000,,,10000000,4205898,42.1,5.163960218429565,0.04680609703063965
ctx,1,1,65536,16384,16384,1000,True,,10000000,4179677,41.8,5.2169411182403564,0.047682762145996094
ctx,1,1,65536,16384,16384,0,,,10000000,4205892,42.1,5.293308973312378,0.04669761657714844
ctx,1,1,65536,16384,16384,0,True,,10000000,4179678,41.8,5.121943473815918,0.0478668212890625
ctx,1,1,65536,16384,65536,10,,,10000000,4280636,42.8,5.112398862838745,0.04839444160461426
ctx,1,1,65536,16384,65536,10,True,,10000000,4262166,42.6,5.2607505321502686,0.0472712516784668
ctx,1,1,65536,16384,65536,1000,,,10000000,4205898,42.1,4.820835828781128,0.04366660118103027
ctx,1,1,65536,16384,65536,1000,True,,10000000,4179677,41.8,4.641434907913208,0.04588603973388672
ctx,1,1,65536,16384,65536,0,,,10000000,4205892,42.1,4.484846115112305,0.04346585273742676
ctx,1,1,65536,16384,65536,0,True,,10000000,4179678,41.8,4.46917462348938,0.04680991172790527
ctx,1,1,65536,65536,4096,10,,,10000000,4187980,41.9,4.39509654045105,0.04694104194641113
ctx,1,1,65536,65536,4096,10,True,,10000000,4170912,41.7,4.720347166061401,0.04580187797546387
