-f,-j,-b,--block-size,--window-size,--future-limit,--max-matches,--lazy-matching,-O,orig_size,enc_size,ratio,enc_time,dec_time
ctx,12,1,31251,31251,31251,0,,,1000001,417734,41.8,0.3017432689666748,0.007381916046142578
ctx,12,1,31251,31251,31251,0,True,,1000001,414780,41.5,0.2834053039550781,0.00624847412109375
ctx,12,1,62501,62501,62501,0,,,1000001,393221,39.3,0.16547513008117676,0.006916522979736328
ctx,12,1,62501,62501,62501,0,True,,1000001,390227,39.0,0.17261672019958496,0.005503177642822266
ctx,12,1,125001,125001,125001,0,,,1000001,374077,37.4,0.10078167915344238,0.005519866943359375
ctx,12,1,125001,125001,125001,0,True,,1000001,371061,37.1,0.10136103630065918,0.0066301822662353516
ctx,12,1,250001,250001,250001,0,,,1000001,359760,36.0,0.07082080841064453,0.005979776382446289
ctx,12,1,250001,250001,250001,0,True,,1000001,356587,35.7,0.08505034446716309,0.006933450698852539
ctx,12,1,500001,500001,500001,0,,,1000001,346832,34.7,0.12155699729919434,0.0058820247650146484
ctx,12,1,500001,500001,500001,0,True,,1000001,343956,34.4,0.1833202838897705,0.006856203079223633
ctx,12,1,1000002,1000002,1000002,0,,,1000001,335868,33.6,0.41436004638671875,0.0062558650970458984
ctx,12,1,1000002,1000002,1000002,0,True,,1000001,333194,33.3,0.6929845809936523,0.007716655731201172
ctx,12,1,31251,31251,31251,0,,True,1000001,408354,40.8,0.28369832038879395,0.006058931350708008
ctx,12,1,62501,62501,62501,0,,True,1000001,382249,38.2,0.19055962562561035,0.0063321590423583984
ctx,12,1,125001,125001,125001,0,,True,1000001,361167,36.1,0.14792275428771973,0.006342887878417969
ctx,12,1,250001,250001,250001,0,,True,1000001,344487,34.4,0.3118925094604492,0.008257865905761719
ctx,12,1,500001,500001,500001,0,,True,1000001,329612,33.0,1.0181522369384766,0.005937099456787109
ctx,12,1,1000002,1000002,1000002,0,,True,1000001,316458,31.6,4.840587377548218,0.006425619125366211
ctx,12,1,31251,31251,31251,0,,,1000001,417734,41.8,0.2818775177001953,0.006031036376953125
ctx,12,1,31251,31251,31251,0,True,,1000001,414780,41.5,0.2874603271484375,0.006410360336303711
ctx,12,1,62501,62501,62501,0,,,1000001,393221,39.3,0.16641449928283691,0.005789995193481445
ctx,12,1,62501,62501,62501,0,True,,1000001,390227,39.0,0.16478633880615234,0.007301807403564453
ctx,12,1,125001,125001,125001,0,,,1000001,374077,37.4,0.10159158706665039,0.006222724914550781
ctx,12,1,125001,125001,125001,0,True,,1000001,371061,37.1,0.09694814682006836,0.00657343864440918
ctx,12,1,250001,250001,250001,0,,,1000001,359760,36.0,0.07334160804748535,0.006000995635986328
ctx,12,1,250001,250001,250001,0,True,,1000001,356587,35.7,0.08140134811401367,0.005628108978271484
ctx,12,1,500001,500001,500001,0,,,1000001,346832,34.7,0.12252569198608398,0.00781393051147461
ctx,12,1,500001,500001,500001,0,True,,1000001,343956,34.4,0.1778392791748047,0.005596637725830078
ctx,12,1,1000002,1000002,1000002,0,,,1000001,335868,33.6,0.4601266384124756,0.005861759185791016
ctx,12,1,1000002,1000002,1000002,0,True,,1000001,333194,33.3,0.7638645172119141,0.006188631057739258
ctx,12,1,31251,31251,31251,0,,True,1000001,408354,40.8,0.2983410358428955,0.006530284881591797
ctx,12,1,62501,62501,62501,0,,True,1000001,382249,38.2,0.18671250343322754,0.007058620452880859
ctx,12,1,125001,125001,125001,0,,True,1000001,361167,36.1,0.15673375129699707,0.006413459777832031
ctx,12,1,250001,250001,250001,0,,True,1000001,344487,34.4,0.3344461917877197,0.0062770843505859375
ctx,12,1,500001,500001,500001,0,,True,1000001,329612,33.0,1.0909206867218018,0.006822109222412109
ctx,12,1,1000002,1000002,1000002,0,,True,1000001,316458,31.6,4.997416973114014,0.007051229476928711
ctx,8,1,31251,31251,31251,0,,,1000001,417734,41.8,0.28040409088134766,0.006218433380126953
ctx,8,1,31251,31251,31251,0,True,,1000001,414780,41.5,0.28714990615844727,0.007176876068115234
ctx,8,1,62501,62501,62501,0,,,1000001,393221,39.3,0.1593458652496338,0.0058672428131103516
ctx,8,1,62501,62501,62501,0,True,,1000001,390227,39.0,0.16964244842529297,0.006693363189697266
ctx,8,1,125001,125001,125001,0,,,1000001,374077,37.4,0.10171389579772949,0.00597834587097168
ctx,8,1,125001,125001,125001,0,True,,1000001,371061,37.1,0.09843325614929199,0.0065534114837646484
