compressor | file | ratio in % | compression time | decompression time | compression memory in MB | decompression memory in MB
brotli | ooffice | 40.29 | 11.32 | 0.03 | 94.25 | 9.08
xz | ooffice | 39.45 | 2.11 | 0.07 | 127.48 | 16.33
zstd | ooffice | 42.18 | 2.15 | 0.01 | 141.09 | 9.99
lzmpo | ooffice | 44.50 | 4.82 | 0.34 | 420.65 | 66.32
brotli | xml | 8.06 | 4.60 | 0.00 | 67.45 | 8.12
xz | xml | 8.48 | 0.70 | 0.01 | 113.70 | 12.84
zstd | xml | 8.45 | 2.27 | 0.00 | 138.21 | 8.09
lzmpo | xml | 8.63 | 2.46 | 0.06 | 239.70 | 13.29
brotli | mr | 28.31 | 14.34 | 0.04 | 127.38 | 12.52
xz | mr | 27.58 | 3.53 | 0.09 | 156.95 | 23.71
zstd | mr | 31.12 | 4.44 | 0.01 | 273.22 | 13.68
lzmpo | mr | 30.71 | 6.67 | 0.34 | 475.15 | 61.96
brotli | nci | 4.53 | 38.97 | 0.04 | 197.29 | 18.99
xz | nci | 5.18 | 6.79 | 0.09 | 341.64 | 67.71
zstd | nci | 4.71 | 22.37 | 0.03 | 421.98 | 36.24
lzmpo | nci | 4.98 | 16.82 | 0.24 | 1127.50 | 46.32
brotli | webster | 20.33 | 60.98 | 0.12 | 197.64 | 19.12
xz | webster | 20.23 | 26.55 | 0.29 | 465.83 | 89.32
zstd | webster | 20.34 | 29.22 | 0.06 | 692.26 | 43.51
lzmpo | webster | 21.10 | 30.21 | 0.82 | 1709.10 | 103.68
brotli | reymont | 20.10 | 8.29 | 0.01 | 94.14 | 9.38
xz | reymont | 19.88 | 3.13 | 0.03 | 128.39 | 16.22
zstd | reymont | 20.35 | 3.28 | 0.01 | 140.50 | 10.25
lzmpo | reymont | 20.96 | 4.18 | 0.13 | 367.14 | 21.16
brotli | dickens | 27.74 | 14.43 | 0.02 | 125.84 | 12.77
xz | dickens | 27.77 | 5.95 | 0.07 | 153.71 | 24.20
zstd | dickens | 27.95 | 5.83 | 0.01 | 273.38 | 13.70
lzmpo | dickens | 28.87 | 8.17 | 0.25 | 727.90 | 39.14
brotli | mozilla | 27.08 | 96.57 | 0.19 | 237.66 | 19.83
xz | mozilla | 26.11 | 17.82 | 0.41 | 567.46 | 112.60
zstd | mozilla | 29.12 | 19.22 | 0.09 | 708.51 | 52.97
lzmpo | mozilla | 30.57 | 38.93 | 1.83 | 2991.83 | 333.84
brotli | osdb | 27.92 | 11.07 | 0.02 | 131.96 | 12.62
xz | osdb | 28.26 | 2.67 | 0.06 | 165.45 | 24.23
zstd | osdb | 30.74 | 2.73 | 0.01 | 273.36 | 13.59
lzmpo | osdb | 29.87 | 5.76 | 0.33 | 477.04 | 63.57
brotli | x-ray | 55.26 | 13.38 | 0.05 | 134.39 | 11.25
xz | x-ray | 52.98 | 2.28 | 0.13 | 151.71 | 22.59
zstd | x-ray | 60.53 | 2.38 | 0.01 | 274.46 | 12.20
lzmpo | x-ray | 58.12 | 7.71 | 0.78 | 737.60 | 163.10
brotli | samba | 17.43 | 22.35 | 0.04 | 194.57 | 19.52
xz | samba | 17.42 | 4.55 | 0.10 | 276.08 | 47.09
zstd | samba | 17.89 | 9.14 | 0.02 | 413.59 | 24.98
lzmpo | samba | 18.16 | 13.57 | 0.48 | 892.21 | 80.81
brotli | sao | 63.24 | 11.49 | 0.04 | 92.62 | 9.77
xz | sao | 60.88 | 2.46 | 0.10 | 139.83 | 20.07
zstd | sao | 68.95 | 2.02 | 0.01 | 144.48 | 11.10
lzmpo | sao | 70.62 | 6.77 | 0.64 | 483.75 | 121.16
