-l,-f,-j,-k,--bs,--ws,--fl,--mm,--lm,filename,orig_size,enc_size,ratio,enc_time,dec_time
0,ctx,16,1,65536,65536,65536,10,0,datasets/silesia/ooffice,6152192,3230301,52.506505,0.845099925994873,0.07105588912963867
0,ctx,16,1,65536,65536,65536,10,0,datasets/silesia/xml,5345280,852742,15.953177,0.7121870517730713,0.02808976173400879
0,ctx,16,1,65536,65536,65536,10,0,datasets/silesia/mr,9970564,3784262,37.954342,1.2569806575775146,0.1073610782623291
0,ctx,16,1,65536,65536,65536,10,0,datasets/silesia/nci,33553445,3946946,11.763162,3.347850799560547,0.1275956630706787
0,ctx,16,1,65536,65536,65536,10,0,datasets/silesia/webster,41458703,13760347,33.190491,5.973130464553833,0.41158366203308105
0,ctx,16,1,65536,65536,65536,10,0,datasets/silesia/reymont,6627202,2175603,32.828379,0.8615498542785645,0.0785067081451416
0,ctx,16,1,65536,65536,65536,10,0,datasets/silesia/dickens,10192446,4349008,42.668933,1.8554630279541016,0.14299321174621582
0,ctx,16,1,65536,65536,65536,10,0,datasets/silesia/mozilla,51220480,19879655,38.811926,12.566088199615479,0.39985179901123047
0,ctx,16,1,65536,65536,65536,10,0,datasets/silesia/osdb,10085684,4355611,43.186074,2.3246870040893555,0.08706998825073242
0,ctx,16,1,65536,65536,65536,10,0,datasets/silesia/x-ray,8474240,6079702,71.74333,1.9320189952850342,0.13540029525756836
0,ctx,16,1,65536,65536,65536,10,0,datasets/silesia/samba,21606400,5890467,27.262603,4.861526727676392,0.15734100341796875
0,ctx,16,1,65536,65536,65536,10,0,datasets/silesia/sao,7251944,5464281,75.349189,2.0630154609680176,0.1115262508392334
0,ctx,16,1,65536,65536,65536,10,0,AVERAGE,17661548.333333332,6147410.416666667,34.806747,3.2166331807772317,0.1548646092414856
0,ctx,16,1,65536,65536,65536,10,1,datasets/silesia/ooffice,6152192,3190796,51.864376,1.6306462287902832,0.0746922492980957
0,ctx,16,1,65536,65536,65536,10,1,datasets/silesia/xml,5345280,807151,15.100257,1.5377233028411865,0.030247211456298828
0,ctx,16,1,65536,65536,65536,10,1,datasets/silesia/mr,9970564,3822891,38.341773,2.66699481010437,0.10146975517272949
0,ctx,16,1,65536,65536,65536,10,1,datasets/silesia/nci,33553445,3624584,10.80242,8.432364463806152,0.11802792549133301
0,ctx,16,1,65536,65536,65536,10,1,datasets/silesia/webster,41458703,13437616,32.412051,10.423566818237305,0.39522767066955566
0,ctx,16,1,65536,65536,65536,10,1,datasets/silesia/reymont,6627202,2102849,31.73057,1.668102741241455,0.06985902786254883
0,ctx,16,1,65536,65536,65536,10,1,datasets/silesia/dickens,10192446,4282885,42.020188,2.7294487953186035,0.15128397941589355
0,ctx,16,1,65536,65536,65536,10,1,datasets/silesia/mozilla,51220480,19575469,38.218051,12.347379446029663,0.32918834686279297
0,ctx,16,1,65536,65536,65536,10,1,datasets/silesia/osdb,10085684,4302773,42.662183,2.4866864681243896,0.08494734764099121
0,ctx,16,1,65536,65536,65536,10,1,datasets/silesia/x-ray,8474240,6062487,71.540185,2.0924806594848633,0.12833833694458008
0,ctx,16,1,65536,65536,65536,10,1,datasets/silesia/samba,21606400,5728817,26.514445,5.346885681152344,0.1329789161682129
0,ctx,16,1,65536,65536,65536,10,1,datasets/silesia/sao,7251944,5431271,74.894001,2.0483813285827637,0.0874166488647461
0,ctx,16,1,65536,65536,65536,10,1,AVERAGE,17661548.333333332,6030799.083333333,34.146491,4.450888395309448,0.14197311798731485
0,ctx,16,1,65536,65536,65536,10,2,datasets/silesia/ooffice,6152192,3197543,51.974044,1.6883773803710938,0.06710314750671387
0,ctx,16,1,65536,65536,65536,10,2,datasets/silesia/xml,5345280,790549,14.789665,1.4277606010437012,0.02586841583251953
0,ctx,16,1,65536,65536,65536,10,2,datasets/silesia/mr,9970564,3837337,38.486659,2.3829753398895264,0.11068296432495117
0,ctx,16,1,65536,65536,65536,10,2,datasets/silesia/nci,33553445,3510921,10.463668,9.05063009262085,0.15094876289367676
0,ctx,16,1,65536,65536,65536,10,2,datasets/silesia/webster,41458703,13363021,32.232125,10.508807182312012,0.4504857063293457
0,ctx,16,1,65536,65536,65536,10,2,datasets/silesia/reymont,6627202,2110637,31.848086,2.132772445678711,0.0741281509399414
0,ctx,16,1,65536,65536,65536,10,2,datasets/silesia/dickens,10192446,4268807,41.882066,2.978344678878784,0.13820815086364746
